price,price per m,area,location
920000,6765,136,Poznań Nowe Miasto Głuszyna
549000,5356,102.5,Daszewice poznański wielkopolskie
439000,5387,81.5,Gruszczyn wielkopolskie
547000,5605,97.6,Dachowa wielkopolskie
646900,6469,100,Rolna Tarnowo Podgórne wielkopolskie
569000,6872,82.8,Poznań Grunwald Kotowo Kotowo
1250000,4630,270,Swarzędz wielkopolskie
1980000,7463,265.3,Poznań wielkopolskie
484000,5288,91.52,Szczytniki wielkopolskie
484000,5114,94.65,Szczytniki wielkopolskie
3600000,14173,254,Cypriana Kamila Norwida Poznań wielkopolskie
699000,5175,135.06,Gruszczyn wielkopolskie
699000,6413,109,Swarzędz poznański wielkopolskie
799000,3995,200,Plac Zielony Swarzędz wielkopolskie
1428000,4760,300,Poznań wielkopolskie
790000,6673,118.39,Siekierki Wielkie wielkopolskie
790000,6673,118.39,Tulecka Siekierki Wielkie wielkopolskie
599000,5954,100.6,Szafirowa Jasin wielkopolskie
599000,5954,100.6,Szafirowa Jasin wielkopolskie
629000,6252,100.6,Rubinowa Jasin wielkopolskie
790000,4938,160,Pławno wielkopolskie
1250000,5102,245,Tulce wielkopolskie
595000,6828,87.14,os Przyjazne Promienna Skórzewo wielkopolskie
785000,8248,95.18,Poznań Grunwald
750000,5639,133,Dąbrowa wielkopolskie
799000,5333,149.82,Gruszczyn wielkopolskie
489000,4467,109.46,Szczytniki wielkopolskie
640000,5664,113,Gruszczyn wielkopolskie
740000,5480,135.03,Gruszczyn wielkopolskie
489000,5172,94.55,Krańcowa Tulce wielkopolskie
764000,5744,133,Poznań Nowe Miasto Szczepankowo Chrzanowska
2199000,6664,330,Poznań Nowe Miasto Szczepankowo
730000,8588,85,Swarzędz Nowa Wieś Tortunia
575000,6845,84,Skórzewo wielkopolskie
1790000,6581,272,Widokowa Borówiec wielkopolskie
1100000,6111,180,Poznań Nowe Miasto Głuszyna
599000,5890,101.7,Poznań wielkopolskie
599999,5405,111,Suchy Las wielkopolskie
940000,7672,122.52,Poznań Jeżyce Krzyżowniki ul. Bojerowa
2990000,787,3800,Poznań wielkopolskie
759000,8724,87,Skórzewo wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,111.1,ul. Owocowa Łowęcin wielkopolskie
,8724,106.6,ul. Owocowa Łowęcin wielkopolskie
972000,3919,248,Wspólna Szczytniki wielkopolskie
1790000,7956,225,Poznań Nowe Miasto Minikowo
2270000,6486,350,Poznań Jeżyce Smochowice
2290000,10409,220,Poznań Nowe Miasto Szczepankowo
960000,8000,120,Poznań Jeżyce Ogrody ul. Radosna
1470000,6125,240,Poznań Jeżyce Strzeszyn
1050000,5859,179.2,Kicin wielkopolskie
860000,3660,235,Poznań Jeżyce Strzeszyn
300000,3333,90,Czapury wielkopolskie
549000,5490,100,ul. Kolejowa Rokietnica wielkopolskie
930000,8304,112,Powstańców Śląskich Kiekrz wielkopolskie
547000,5602,97.64,Dachowa wielkopolskie
795000,5746,138.36,Poznań Nowe Miasto Szczepankowo Chrzanowska
785000,5880,133.5,Poznań Nowe Miasto Szczepankowo
517000,6236,82.9,Luboń wielkopolskie
1390000,8865,156.8,Skórzewo wielkopolskie
478000,5359,89.2,Zimowa Gowarzewo wielkopolskie
439000,5420,81,Swarzędz wielkopolskie
639000,5343,119.6,Nowina Dachowa wielkopolskie
419000,4203,99.68,ul. Malarska Szczytniki wielkopolskie
478000,5359,89.2,Zimowa Gowarzewo wielkopolskie
599000,6230,96.14,Gortatowo poznański wielkopolskie
1411928,13300,106.16,Poznań Jeżyce Sołacz
985000,4397,224,ul. Szkółkarska Suchy Las wielkopolskie
399500,6760,59.1,Walerianowo ul. Bukowa Komorniki wielkopolskie
599000,5890,101.7,Walerianowo ul. Bukowa Komorniki wielkopolskie
1399000,6359,220,Poznań Grunwald Bolkowicka
698000,8116,86,Poznań wielkopolskie
640000,5664,113,Gruszczyn wielkopolskie
640000,6465,99,Garby wielkopolskie
1150000,4406,261,Przeźmierowo wielkopolskie
599000,6230,96.14,Swarzędz wielkopolskie
528120,5959,88.62,Lusowo wielkopolskie
470000,3106,151.3,Rosnówko wielkopolskie
749000,5201,144,Swarzędz poznański wielkopolskie
519000,5766,90.01,Szczytniki wielkopolskie
515000,5421,95,Siekierki Wielkie wielkopolskie
399000,1814,220,Pobiedziska wielkopolskie
470000,3106,151.3,Rosnówko wielkopolskie
699000,8128,86,Poznań wielkopolskie
599000,5546,108,Swarzędz Centrum
2290000,9957,230,Poznań Nowe Miasto Rataje
1090000,12071,90.3,Alabastrowa Baranowo gm. Mosina wielkopolskie
471000,4168,113,Dachowa wielkopolskie
850000,1230,691,Swarzędz wielkopolskie
859000,3768,228,Poznań wielkopolskie
459000,1148,400,Swarzędz Centrum
549000,5490,100,ul. Siekierecka Gowarzewo wielkopolskie
2950000,12292,240,Poznań Jeżyce Psarskie Słodyńska
480000,6400,75,Robakowo wielkopolskie
549000,5081,108.04,ul. Malarska Szczytniki wielkopolskie
509000,4711,108.04,ul. Malarska Szczytniki poznański wielkopolskie
509000,4752,107.12,ul. Malarska Szczytniki wielkopolskie
439000,4427,99.16,ul. Malarska Szczytniki wielkopolskie
419000,5178,80.92,ul. Malarska Szczytniki wielkopolskie
419000,4203,99.68,ul. Malarska Szczytniki poznański wielkopolskie
399000,4901,81.41,ul. Malarska Szczytniki wielkopolskie
